time/s	Ewe/V	<I>/mA	cycle number	
0.000000000000000E+000	5.0198895E-001	2.382955746725202E-003	1.000000000000000E+000
1.689999957307009E-002	4.9990597E-001	-2.226646890139787E-003	1.000000000000000E+000
4.769999879499665E-002	4.9675614E-001	-1.999327931427730E-003	1.000000000000000E+000
7.849999801692320E-002	4.9374950E-001	-2.205117626190694E-003	1.000000000000000E+000
1.092999972388498E-001	4.9067050E-001	-1.920175797417999E-003	1.000000000000000E+000
1.400999964607763E-001	4.8759887E-001	-2.298343529949010E-003	1.000000000000000E+000
1.708999956827029E-001	4.8444611E-001	-1.999613832415589E-003	1.000000000000000E+000
2.016999949046294E-001	4.8139450E-001	-2.342157327784157E-003	1.000000000000000E+000
2.324999941265560E-001	4.7839269E-001	-2.102825979605462E-003	1.000000000000000E+000
2.632999933484825E-001	4.7530761E-001	-2.271717038538588E-003	1.000000000000000E+000
2.940999925704091E-001	4.7224173E-001	-2.213673935713246E-003	1.000000000000000E+000
3.249999917898094E-001	4.6904016E-001	-2.243194223565087E-003	1.000000000000000E+000
3.557999910117360E-001	4.6602950E-001	-2.306565929470976E-003	1.000000000000000E+000
3.865999902336625E-001	4.6288949E-001	-2.244249224034695E-003	1.000000000000000E+000
4.173999894555891E-001	4.5979422E-001	-2.446270012979139E-003	1.000000000000000E+000
4.481999886775156E-001	4.5671335E-001	-2.255661863222571E-003	1.000000000000000E+000
4.789999878994422E-001	4.5364922E-001	-2.511147785296937E-003	1.000000000000000E+000
5.097999871213688E-001	4.5059851E-001	-2.209812891713259E-003	1.000000000000000E+000
5.405999863432953E-001	4.4750857E-001	-2.571626464810933E-003	1.000000000000000E+000
5.713999855652219E-001	4.4444767E-001	-2.253303103306861E-003	1.000000000000000E+000
6.021999847871484E-001	4.4129345E-001	-2.520795891353338E-003	1.000000000000000E+000
6.329999840090750E-001	4.3829244E-001	-2.354710956007880E-003	1.000000000000000E+000
6.637999832310015E-001	4.3520844E-001	-2.495328516919582E-003	1.000000000000000E+000
6.945999824529281E-001	4.3210569E-001	-2.447647124280146E-003	1.000000000000000E+000
7.253999816748546E-001	4.2899030E-001	-2.475734462683440E-003	1.000000000000000E+000
7.561999808967812E-001	4.2596278E-001	-2.548871473669535E-003	1.000000000000000E+000
7.869999801187078E-001	4.2288667E-001	-2.446307571366894E-003	1.000000000000000E+000
8.177999793406343E-001	4.1976973E-001	-2.667683028740528E-003	1.000000000000000E+000
8.486999785600347E-001	4.1667897E-001	-2.426696544152257E-003	1.000000000000000E+000
8.794999777819612E-001	4.1362593E-001	-2.772019565455877E-003	1.000000000000000E+000
9.102999770038878E-001	4.1051397E-001	-2.497121108939231E-003	1.000000000000000E+000
9.410999762258143E-001	4.0743881E-001	-2.878331238924406E-003	1.000000000000000E+000
9.718999754477409E-001	4.0435189E-001	-2.627095082919806E-003	1.000000000000000E+000
1.002699974669667E+000	4.0130347E-001	-2.847082529819932E-003	1.000000000000000E+000
1.033499973891594E+000	3.9827508E-001	-2.763607728332920E-003	1.000000000000000E+000
1.064299973113521E+000	3.9509624E-001	-2.838373712533586E-003	1.000000000000000E+000
1.095099972335447E+000	3.9206353E-001	-2.874682298920822E-003	1.000000000000000E+000
1.125899971557374E+000	3.8896886E-001	-2.861339824374038E-003	1.000000000000000E+000
1.156699970779300E+000	3.8589522E-001	-3.068966929123632E-003	1.000000000000000E+000
1.187499970001227E+000	3.8280055E-001	-2.894726924391140E-003	1.000000000000000E+000
1.218299969223153E+000	3.7971297E-001	-3.211566058850694E-003	1.000000000000000E+000
1.249099968445080E+000	3.7659815E-001	-2.921080900828810E-003	1.000000000000000E+000
1.279899967667006E+000	3.7355641E-001	-3.294370126652397E-003	1.000000000000000E+000
1.310699966888933E+000	3.7054273E-001	-3.021057202770688E-003	1.000000000000000E+000
1.341499966110860E+000	3.6739990E-001	-3.348716137218440E-003	1.000000000000000E+000
