time/s	Ewe/V	<I>/mA	cycle number	
0.000000000000000E+000	-5.4921471E-002	4.314849153161049E-003	1.000000000000000E+000
1.689999957307009E-002	-5.7073414E-002	-2.034564987815290E-003	1.000000000000000E+000
4.769999879499665E-002	-6.0174171E-002	-1.973310459556940E-003	1.000000000000000E+000
7.849999801692320E-002	-6.3205630E-002	-1.961314149431084E-003	1.000000000000000E+000
1.092999972388498E-001	-6.6340774E-002	-1.923833364015290E-003	1.000000000000000E+000
1.400999964607763E-001	-6.9386773E-002	-2.140276895077058E-003	1.000000000000000E+000
1.708999956827029E-001	-7.2453499E-002	-1.954528081503256E-003	1.000000000000000E+000
2.016999949046294E-001	-7.5567365E-002	-2.235825766065042E-003	1.000000000000000E+000
2.324999941265560E-001	-7.8591891E-002	-2.027319519781355E-003	1.000000000000000E+000
2.632999933484825E-001	-8.1727996E-002	-2.256525753918930E-003	1.000000000000000E+000
2.940999925704091E-001	-8.4790334E-002	-2.051287356261328E-003	1.000000000000000E+000
3.249999917898094E-001	-8.7884545E-002	-2.289168054969801E-003	1.000000000000000E+000
3.557999910117360E-001	-9.0969630E-002	-2.146024509381219E-003	1.000000000000000E+000
3.865999902336625E-001	-9.4071642E-002	-2.314998002799350E-003	1.000000000000000E+000
4.173999894555891E-001	-9.7118646E-002	-2.248832605689907E-003	1.000000000000000E+000
4.481999886775156E-001	-1.0018864E-001	-2.266360991321242E-003	1.000000000000000E+000
4.789999878994422E-001	-1.0324421E-001	-2.406644297078861E-003	1.000000000000000E+000
5.097999871213688E-001	-1.0638037E-001	-2.258090019011345E-003	1.000000000000000E+000
5.405999863432953E-001	-1.0946378E-001	-2.487590694813871E-003	1.000000000000000E+000
5.713999855652219E-001	-1.1248437E-001	-2.257393710824243E-003	1.000000000000000E+000
6.021999847871484E-001	-1.1558092E-001	-2.545076761294021E-003	1.000000000000000E+000
6.329999840090750E-001	-1.1863877E-001	-2.295453459119842E-003	1.000000000000000E+000
6.637999832310015E-001	-1.2172543E-001	-2.584690108589832E-003	1.000000000000000E+000
6.945999824529281E-001	-1.2485027E-001	-2.406373664581556E-003	1.000000000000000E+000
7.253999816748546E-001	-1.2791584E-001	-2.669541661323410E-003	1.000000000000000E+000
7.561999808967812E-001	-1.3100423E-001	-2.499676179402319E-003	1.000000000000000E+000
7.869999801187078E-001	-1.3404536E-001	-2.672254860155723E-003	1.000000000000000E+000
8.177999793406343E-001	-1.3711467E-001	-2.647847531834696E-003	1.000000000000000E+000
8.486999785600347E-001	-1.4023548E-001	-2.672873937000445E-003	1.000000000000000E+000
8.794999777819612E-001	-1.4331307E-001	-2.845367239615145E-003	1.000000000000000E+000
9.102999770038878E-001	-1.4635590E-001	-2.717061948810471E-003	1.000000000000000E+000
9.410999762258143E-001	-1.4947073E-001	-3.016041889946905E-003	1.000000000000000E+000
9.718999754477409E-001	-1.5253745E-001	-2.824504917373630E-003	1.000000000000000E+000
1.002699974669667E+000	-1.5559547E-001	-3.120197098597829E-003	1.000000000000000E+000
1.033499973891594E+000	-1.5871449E-001	-2.940882933612323E-003	1.000000000000000E+000
1.064299973113521E+000	-1.6186006E-001	-3.238676288810936E-003	1.000000000000000E+000
1.095099972335447E+000	-1.6491546E-001	-3.049074105183722E-003	1.000000000000000E+000
1.125899971557374E+000	-1.6797960E-001	-3.366266573279871E-003	1.000000000000000E+000
1.156699970779300E+000	-1.7105290E-001	-3.260086061259659E-003	1.000000000000000E+000
1.187499970001227E+000	-1.7418371E-001	-3.471762747746403E-003	1.000000000000000E+000
1.218299969223153E+000	-1.7716740E-001	-3.489411819201808E-003	1.000000000000000E+000
1.249099968445080E+000	-1.8025307E-001	-3.522531101946143E-003	1.000000000000000E+000
1.279899967667006E+000	-1.8331699E-001	-3.738438281782372E-003	1.000000000000000E+000
1.310699966888933E+000	-1.8644291E-001	-3.622966008165737E-003	1.000000000000000E+000
1.341499966110860E+000	-1.8951832E-001	-3.942355598296858E-003	1.000000000000000E+000
1.372299965332786E+000	-1.9259635E-001	-3.792285407486981E-003	1.000000000000000E+000
1.403099964554713E+000	-1.9568868E-001	-4.123931269267940E-003	1.000000000000000E+000
1.433899963776639E+000	-1.9870509E-001	-3.950022237924199E-003	1.000000000000000E+000
1.464699962998566E+000	-2.0181161E-001	-4.328354782207302E-003	1.000000000000000E+000
1.495499962220492E+000	-2.0491928E-001	-4.138452051481296E-003	1.000000000000000E+000
1.526299961442419E+000	-2.0811521E-001	-4.445488812448967E-003	1.000000000000000E+000
1.557099960664345E+000	-2.1113199E-001	-4.394559266818823E-003	1.000000000000000E+000
1.587899959886272E+000	-2.1423623E-001	-4.561139049468130E-003	1.000000000000000E+000
1.618699959108199E+000	-2.1728884E-001	-4.652920499532712E-003	1.000000000000000E+000
1.649499958330125E+000	-2.2037321E-001	-4.668033600398434E-003	1.000000000000000E+000
1.680299957552052E+000	-2.2342689E-001	-4.959520529542252E-003	1.000000000000000E+000
1.711199956771452E+000	-2.2653666E-001	-4.868177482881181E-003	1.000000000000000E+000
1.741999955993379E+000	-2.2961207E-001	-5.187453784650950E-003	1.000000000000000E+000
1.772799955215305E+000	-2.3271650E-001	-5.022985639217992E-003	1.000000000000000E+000
1.803599954437232E+000	-2.3575304E-001	-5.399281900731523E-003	1.000000000000000E+000
1.834399953659158E+000	-2.3888829E-001	-5.208102285163718E-003	1.000000000000000E+000
1.865199952881085E+000	-2.4201445E-001	-5.590629469149622E-003	1.000000000000000E+000
1.895999952103011E+000	-2.4505244E-001	-5.448862660959924E-003	1.000000000000000E+000
1.926799951324938E+000	-2.4814935E-001	-5.756185056468327E-003	1.000000000000000E+000
1.957599950546864E+000	-2.5119287E-001	-5.724653452172948E-003	1.000000000000000E+000
1.988399949768791E+000	-2.5431567E-001	-5.813427694929048E-003	1.000000000000000E+000
2.019199948990718E+000	-2.5735801E-001	-5.935434738850057E-003	1.000000000000000E+000
2.049999948212644E+000	-2.6044765E-001	-5.943275572302811E-003	1.000000000000000E+000
2.080799947434571E+000	-2.6348093E-001	-6.181071698924706E-003	1.000000000000000E+000
2.111599946656497E+000	-2.6658517E-001	-6.088534185363897E-003	1.000000000000000E+000
2.142399945878424E+000	-2.6965919E-001	-6.425661498494622E-003	1.000000000000000E+000
2.173199945100350E+000	-2.7273023E-001	-6.285425298416410E-003	1.000000000000000E+000
2.203999944322277E+000	-2.7585974E-001	-6.634635145335632E-003	1.000000000000000E+000
2.234899943541677E+000	-2.7889633E-001	-6.438456163429362E-003	1.000000000000000E+000
2.265699942763604E+000	-2.8201571E-001	-6.841843330082004E-003	1.000000000000000E+000
2.296499941985530E+000	-2.8507170E-001	-6.696370397911561E-003	1.000000000000000E+000
2.327299941207457E+000	-2.8814891E-001	-6.950469129358809E-003	1.000000000000000E+000
2.358099940429383E+000	-2.9123843E-001	-6.979689844791838E-003	1.000000000000000E+000
2.388899939651310E+000	-2.9429305E-001	-7.085562467442047E-003	1.000000000000000E+000
2.419699938873237E+000	-2.9737663E-001	-7.226099944599926E-003	1.000000000000000E+000
2.450499938095163E+000	-3.0049127E-001	-7.215669575605127E-003	1.000000000000000E+000
2.481299937317090E+000	-3.0346951E-001	-7.459626850944992E-003	1.000000000000000E+000
2.512099936539016E+000	-3.0661976E-001	-7.359416787235014E-003	1.000000000000000E+000
2.542899935760943E+000	-3.0970138E-001	-7.705891459343583E-003	1.000000000000000E+000
2.573699934982869E+000	-3.1287923E-001	-7.503430694357813E-003	1.000000000000000E+000
2.604499934204796E+000	-3.1583509E-001	-7.892312720528177E-003	1.000000000000000E+000
2.635299933426722E+000	-3.1890476E-001	-7.722568638150247E-003	1.000000000000000E+000
2.666099932648649E+000	-3.2200700E-001	-8.099958128390344E-003	1.000000000000000E+000
2.696899931870576E+000	-3.2504728E-001	-7.985444890349178E-003	1.000000000000000E+000
2.727699931092502E+000	-3.2818198E-001	-8.183471003123999E-003	1.000000000000000E+000
2.758499930314429E+000	-3.3122426E-001	-8.256187750107835E-003	1.000000000000000E+000
2.789299929536355E+000	-3.3435646E-001	-8.290536916308752E-003	1.000000000000000E+000
2.820099928758282E+000	-3.3732057E-001	-8.445217058527743E-003	1.000000000000000E+000
